,0
0,0.0006018219864927232
1,0.0028489429969340563
2,0.03577073663473129
3,0.003950030077248812
4,6.929026881152822e-07
5,0.00018738920334726572
6,0.23008427023887634
7,0.014835822395980358
8,0.061004143208265305
9,0.05451931431889534
10,0.08863512426614761
11,0.09975682944059372
12,0.01907680556178093
13,0.02475597709417343
14,0.031821854412555695
15,0.0044824182987213135
16,0.0008205920457839966
17,0.054733674973249435
18,0.08523213118314743
19,0.009199309162795544
20,0.27589043974876404
21,0.008400825783610344
22,0.06688697636127472
23,0.09394809603691101
24,0.02536292001605034
25,0.11400073021650314
26,0.005804122891277075
27,0.004302065819501877
28,0.09658840298652649
29,0.006104114465415478
30,0.026050997897982597
31,0.007879737764596939
32,0.0016322963638231158
33,0.006553892977535725
34,0.03476942330598831
35,0.004908605013042688
36,0.007028247229754925
37,0.00011454147170297801
38,0.009047535248100758
39,0.06692522764205933
40,0.04909037798643112
41,0.0038162670098245144
42,0.0024439003318548203
43,0.004593657795339823
44,0.23650459945201874
45,0.0008370326249860227
46,0.001192422118037939
47,0.023937946185469627
48,0.001446075621061027
49,0.00048592162784188986
50,0.0031111889984458685
51,0.006993945688009262
52,0.013046707957983017
53,0.002384185791015625
54,0.07808554917573929
55,0.009549838490784168
56,0.00439587514847517
57,0.0505501851439476
58,0.0027084853500127792
59,0.0010306527838110924
60,0.04043353721499443
61,0.00036786668351851404
62,0.003317612921819091
63,0.020736685022711754
64,0.051613278687000275
65,0.1891425997018814
66,0.003546538995578885
67,0.0020581611897796392
68,0.0008170536020770669
69,0.0012788961175829172
70,0.00016344217874575406
71,0.00016865400539245456
72,0.0025063445791602135
73,0.004509928170591593
74,0.00010153498442377895
75,0.0002376404736423865
76,0.354911744594574
77,0.0011795416940003633
78,0.0031926485244184732
79,0.019570037722587585
80,0.007994916290044785
81,0.0014497705269604921
82,0.000599307008087635
83,0.0007860801415517926
84,0.002633417025208473
85,0.07039538770914078
86,0.011895731091499329
87,0.0005624176119454205
88,0.0024856221862137318
89,0.007108599413186312
90,0.09184523671865463
91,0.00054872443433851
92,0.013960607349872589
93,0.025475427508354187
94,0.000343999796314165
95,0.0004882133798673749
96,0.000705764745362103
97,0.0037622295785695314
98,9.649823186919093e-05
99,0.0006153929280117154
